Shipment_ID,Origin_Warehouse,Destination,Carrier,Shipment_Date,Shipment_month,Delivery_Date,Delivery_month,Weight_kg,Cost,Status,Distance_miles,Transit_Days,Invalid dates,,,
SH10720,Warehouse_SEA,Chicago,DHL,2023-01-04,Jan 2023,2023-01-10,Jan 2023,19.00,117.94,Delayed,593,5,valid,,,
SH10273,Warehouse_CHI,Miami,LaserShip,2023-01-04,Jan 2023,2023-01-08,Jan 2023,26.50,,Delivered,1350,4,valid,,,
SH10423,Warehouse_SF,Boston,Amazon Logistics,2023-01-04,Jan 2023,2023-01-11,Jan 2023,14.60,188.17,Delivered,1324,7,valid,,,
SH10700,Warehouse_ATL,Seattle,LaserShip,2023-01-04,Jan 2023,2023-01-07,Jan 2023,14.50,83.98,Delivered,530,3,valid,,,
SH10909,Warehouse_SF,Dallas,LaserShip,2023-01-04,Jan 2023,2023-01-12,Jan 2023,32.00,327.10,Delivered,2355,8,valid,,,
SH11065,Warehouse_LA,Atlanta,DHL,2023-01-04,Jan 2023,2023-01-09,Jan 2023,55.90,321.41,Delivered,1931,5,valid,,,
SH11399,Warehouse_DEN,San Francisco,UPS,2023-01-04,Jan 2023,2023-01-07,Jan 2023,10.50,161.38,Delivered,1148,3,valid,,,
SH10174,Warehouse_LA,Houston,FedEx,2023-01-05,Jan 2023,2023-01-23,Jan 2023,11.50,244.22,Delayed,1814,8,valid,,,
SH10116,Warehouse_BOS,Houston,FedEx,2023-01-05,Jan 2023,2023-01-12,Jan 2023,18.80,249.35,Delivered,1744,7,valid,,,
SH11437,Warehouse_BOS,Boston,USPS,2023-01-05,Jan 2023,2023-01-09,Jan 2023,111.00,301.20,Delivered,1782,4,valid,,,
SH11632,Warehouse_SF,Chicago,OnTrac,2023-01-05,Jan 2023,2023-01-10,Jan 2023,14.00,151.05,Delivered,1077,5,valid,,,
SH10628,Warehouse_LA,Miami,USPS,2023-01-05,Jan 2023,2023-01-08,Jan 2023,27.10,133.42,Lost,836,3,valid,,,
SH10142,Warehouse_NYC,Chicago,OnTrac,2023-01-06,Jan 2023,2023-01-09,Jan 2023,38.90,137.82,Delivered,790,3,valid,,,
SH11357,Warehouse_CHI,Minneapolis,LaserShip,2023-01-06,Jan 2023,2023-01-12,Jan 2023,5.70,29.11,Delivered,2368,6,valid,,,
SH11530,Warehouse_HOU,Houston,OnTrac,2023-01-06,Jan 2023,2023-01-08,Jan 2023,13.40,62.54,Delivered,379,2,valid,,,
SH11870,Warehouse_DEN,Houston,OnTrac,2023-01-06,Jan 2023,2023-01-10,Jan 2023,119.70,390.46,Delivered,1834,4,valid,,,
SH11832,Warehouse_SF,Dallas,Amazon Logistics,2023-01-06,Jan 2023,2023-01-08,Jan 2023,26.20,48.64,Lost,116,2,valid,,,
SH10049,Warehouse_MIA,Boston,UPS,2023-01-07,Jan 2023,2023-01-11,Jan 2023,84.10,251.24,Delivered,1010,4,valid,,,
SH10655,Warehouse_HOU,Miami,UPS,2023-01-07,Jan 2023,2023-01-12,Jan 2023,6.60,261.19,Delivered,1832,5,valid,,,
SH10666,Warehouse_DEN,Houston,OnTrac,2023-01-07,Jan 2023,2023-01-12,Jan 2023,9.70,260.86,Delivered,1937,5,valid,,,
SH10510,Warehouse_SF,Phoenix,USPS,2023-01-08,Jan 2023,2023-01-20,Jan 2023,19.80,263.66,Delayed,2186,6,valid,,,
SH10481,Warehouse_SF,New York,Amazon Logistics,2023-01-08,Jan 2023,2023-01-12,Jan 2023,7.70,170.97,Delivered,1468,4,valid,,,
SH10542,Warehouse_MIA,Atlanta,Amazon Logistics,2023-01-08,Jan 2023,2023-01-11,Jan 2023,42.80,,Delivered,900,3,valid,,,
SH10724,Warehouse_CHI,San Francisco,USPS,2023-01-08,Jan 2023,2023-01-10,Jan 2023,14.40,34.45,Delivered,140,2,valid,,,
SH10846,Warehouse_HOU,Dallas,OnTrac,2023-01-08,Jan 2023,2023-01-11,Jan 2023,63.50,192.27,Delivered,1118,3,valid,,,
SH10920,Warehouse_DEN,Seattle,UPS,2023-01-08,Jan 2023,2023-01-12,Jan 2023,17.60,242.22,Delivered,1577,4,valid,,,
SH11109,Warehouse_LA,Dallas,DHL,2023-01-08,Jan 2023,2023-01-11,Jan 2023,11.80,193.89,Delivered,1435,3,valid,,,
SH11187,Warehouse_MIA,Detroit,DHL,2023-01-08,Jan 2023,2023-01-11,Jan 2023,13.50,116.78,In Transit,702,3,valid,,,
SH11275,Warehouse_LA,Chicago,FedEx,2023-01-08,Jan 2023,2023-01-10,Jan 2023,48.30,146.26,In Transit,545,2,valid,,,
SH11348,Warehouse_LA,Phoenix,UPS,2023-01-09,Jan 2023,2023-01-13,Jan 2023,13.00,59.81,Delivered,373,4,valid,,,
SH10337,Warehouse_SEA,Atlanta,UPS,2023-01-10,Jan 2023,2023-01-14,Jan 2023,45.30,240.32,Delivered,1324,4,valid,,,
SH11556,Warehouse_DEN,Miami,Amazon Logistics,2023-01-10,Jan 2023,2023-01-14,Jan 2023,6.70,54.04,Delivered,392,4,valid,,,
SH10322,Warehouse_LA,Phoenix,Amazon Logistics,2023-01-11,Jan 2023,2023-01-17,Jan 2023,22.60,76.63,Delayed,373,5,valid,,,
SH10264,Warehouse_LA,Dallas,UPS,2023-01-11,Jan 2023,2023-01-15,Jan 2023,10.90,191.54,Delivered,1435,4,valid,,,
SH10265,Warehouse_SF,Detroit,USPS,2023-01-11,Jan 2023,2023-01-14,Jan 2023,35.30,102.36,Delivered,533,3,valid,,,
SH11097,Warehouse_HOU,Portland,FedEx,2023-01-11,Jan 2023,2023-01-17,Jan 2023,90.30,248.01,Delivered,1076,6,valid,,,
SH11146,Warehouse_DEN,Los Angeles,LaserShip,2023-01-11,Jan 2023,2023-01-12,Jan 2023,6.60,39.88,Delivered,265,1,valid,,,
SH11233,Warehouse_ATL,Seattle,USPS,2023-01-11,Jan 2023,2023-01-12,Jan 2023,36.20,,Delivered,101,1,valid,,,
SH11439,Warehouse_CHI,Portland,LaserShip,2023-01-11,Jan 2023,2023-01-17,Jan 2023,24.20,314.11,Delivered,2469,6,valid,,,
SH10340,Warehouse_ATL,Phoenix,UPS,2023-01-12,Jan 2023,2023-01-21,Jan 2023,8.40,280.39,Delivered,2388,9,valid,,,
SH10548,Warehouse_CHI,Portland,FedEx,2023-01-12,Jan 2023,2023-01-14,Jan 2023,20.80,74.77,Delivered,389,2,valid,,,
SH11592,Warehouse_BOS,Los Angeles,UPS,2023-01-12,Jan 2023,2023-01-17,Jan 2023,31.70,195.68,Delivered,1114,5,valid,,,
SH11593,Warehouse_NYC,Dallas,USPS,2023-01-12,Jan 2023,2023-01-15,Jan 2023,16.30,105.67,Delivered,759,3,valid,,,
SH11905,Warehouse_SEA,Detroit,LaserShip,2023-01-12,Jan 2023,2023-01-18,Jan 2023,44.30,311.30,Delivered,2041,6,valid,,,
SH10733,Warehouse_DEN,Los Angeles,OnTrac,2023-01-13,Jan 2023,2023-01-15,Jan 2023,12.00,95.74,Delivered,607,2,valid,,,
SH10968,Warehouse_SEA,Denver,UPS,2023-01-13,Jan 2023,2023-01-17,Jan 2023,27.50,272.07,Delivered,1875,4,valid,,,
SH11293,Warehouse_ATL,Dallas,USPS,2023-01-13,Jan 2023,2023-01-18,Jan 2023,25.40,245.02,Delivered,2110,5,valid,,,
SH11342,Warehouse_BOS,Minneapolis,Amazon Logistics,2023-01-13,Jan 2023,2023-01-19,Jan 2023,27.90,311.69,Delivered,2297,6,valid,,,
SH10103,Warehouse_BOS,New York,Amazon Logistics,2023-01-14,Jan 2023,2023-01-25,Jan 2023,6.30,283.56,Delivered,2366,11,valid,,,
SH10690,Warehouse_BOS,Dallas,DHL,2023-01-14,Jan 2023,2023-01-18,Jan 2023,9.60,243.91,Delivered,1854,4,valid,,,
SH10765,Warehouse_BOS,Houston,LaserShip,2023-01-14,Jan 2023,2023-01-16,Jan 2023,39.60,90.47,Delivered,307,2,valid,,,
SH11053,Warehouse_DEN,Atlanta,LaserShip,2023-01-14,Jan 2023,2023-01-15,Jan 2023,14.40,50.76,Delivered,253,1,valid,,,
SH11863,Warehouse_LA,Chicago,OnTrac,2023-01-14,Jan 2023,2023-01-18,Jan 2023,16.10,105.58,Delivered,664,4,valid,,,
SH11604,Warehouse_SEA,Miami,USPS,2023-01-14,Jan 2023,2023-01-18,Jan 2023,20.60,181.01,In Transit,1523,4,valid,,,
SH10253,Warehouse_ATL,Denver,LaserShip,2023-01-15,Jan 2023,2023-01-17,Jan 2023,24.80,110.65,Delivered,677,2,valid,,,
SH10692,Warehouse_MIA,Dallas,USPS,2023-01-15,Jan 2023,2023-01-19,Jan 2023,14.50,230.05,Delivered,1753,4,valid,,,
SH11240,Warehouse_ATL,Denver,DHL,2023-01-15,Jan 2023,2023-01-21,Jan 2023,10.30,310.05,Delivered,2006,6,valid,,,
SH11306,Warehouse_ATL,Atlanta,UPS,2023-01-15,Jan 2023,2023-01-20,Jan 2023,8.30,275.36,Delivered,1965,5,valid,,,
SH11844,Warehouse_NYC,Dallas,Amazon Logistics,2023-01-15,Jan 2023,2023-01-21,Jan 2023,27.40,,Delivered,1518,6,valid,,,
SH11845,Warehouse_NYC,San Francisco,Amazon Logistics,2023-01-15,Jan 2023,2023-01-19,Jan 2023,17.30,73.25,In Transit,489,4,valid,,,
SH11907,Warehouse_DEN,Portland,LaserShip,2023-01-15,Jan 2023,2023-01-22,Jan 2023,8.80,210.56,Lost,1852,7,valid,,,
SH10019,Warehouse_MIA,Portland,DHL,2023-01-16,Jan 2023,2023-01-21,Jan 2023,51.20,290.72,Delivered,1660,5,valid,,,
SH10767,Warehouse_LA,Dallas,FedEx,2023-01-16,Jan 2023,2023-01-21,Jan 2023,48.50,261.64,Delivered,1435,5,valid,,,
SH10828,Warehouse_HOU,Atlanta,USPS,2023-01-16,Jan 2023,2023-01-18,Jan 2023,38.40,125.03,Delivered,800,2,valid,,,
SH11001,Warehouse_BOS,Detroit,USPS,2023-01-16,Jan 2023,2023-01-19,Jan 2023,50.50,116.20,Delivered,493,3,valid,,,
SH11568,Warehouse_SF,Atlanta,DHL,2023-01-16,Jan 2023,2023-01-21,Jan 2023,4.60,291.01,Delivered,2171,5,valid,,,
SH11578,Warehouse_ATL,Atlanta,FedEx,2023-01-16,Jan 2023,2023-01-19,Jan 2023,8.10,171.35,Returned,1305,3,valid,,,
SH10047,Warehouse_SF,Dallas,USPS,2023-01-17,Jan 2023,2023-01-20,Jan 2023,25.40,127.22,Delivered,816,3,valid,,,
SH11058,Warehouse_DEN,Denver,OnTrac,2023-01-17,Jan 2023,2023-01-21,Jan 2023,20.70,179.54,Delivered,1413,4,valid,,,
SH11273,Warehouse_HOU,Los Angeles,LaserShip,2023-01-17,Jan 2023,2023-01-20,Jan 2023,12.00,59.08,In Transit,376,3,valid,,,
SH10270,Warehouse_DEN,Phoenix,FedEx,2023-01-18,Jan 2023,2023-01-21,Jan 2023,4.90,27.41,Delivered,159,3,valid,,,
SH10418,Warehouse_ATL,Chicago,DHL,2023-01-18,Jan 2023,2023-01-25,Jan 2023,10.00,360.44,Delivered,2344,7,valid,,,
SH10455,Warehouse_SEA,Houston,USPS,2023-01-18,Jan 2023,2023-01-23,Jan 2023,16.30,87.95,Delivered,642,5,valid,,,
SH10698,Warehouse_SF,Atlanta,UPS,2023-01-18,Jan 2023,2023-01-20,Jan 2023,21.90,83.70,Delivered,472,2,valid,,,
SH10823,Warehouse_DEN,Minneapolis,DHL,2023-01-18,Jan 2023,2023-01-24,Jan 2023,50.20,326.57,Delivered,1802,6,valid,,,
SH11164,Warehouse_LA,Dallas,DHL,2023-01-18,Jan 2023,2023-01-21,Jan 2023,8.20,207.39,Delivered,1435,3,valid,,,
SH11210,Warehouse_CHI,Dallas,FedEx,2023-01-18,Jan 2023,2023-01-24,Jan 2023,30.00,343.66,Delivered,2379,6,valid,,,
SH11802,Warehouse_SF,San Francisco,FedEx,2023-01-18,Jan 2023,2023-01-24,Jan 2023,13.60,260.65,Delivered,2044,6,valid,,,
SH11988,Warehouse_LA,Atlanta,Amazon Logistics,2023-01-18,Jan 2023,2023-01-26,Jan 2023,78.20,392.00,Delivered,2309,8,valid,,,
SH11995,Warehouse_BOS,San Francisco,FedEx,2023-01-18,Jan 2023,2023-01-23,Jan 2023,7.90,217.78,Delivered,1616,5,valid,,,
SH10009,Warehouse_SF,Detroit,LaserShip,2023-01-19,Jan 2023,2023-01-21,Jan 2023,27.70,55.24,Delivered,214,2,valid,,,
SH10483,Warehouse_SF,Houston,UPS,2023-01-19,Jan 2023,2023-01-23,Jan 2023,57.60,346.17,Delivered,1950,4,valid,,,
SH10545,Warehouse_SF,Portland,FedEx,2023-01-19,Jan 2023,2023-01-23,Jan 2023,21.70,139.26,Delivered,896,4,valid,,,
SH11641,Warehouse_HOU,San Francisco,USPS,2023-01-19,Jan 2023,2023-01-26,Jan 2023,53.00,322.97,Delivered,2490,7,valid,,,
SH10342,Warehouse_LA,Atlanta,LaserShip,2023-01-20,Jan 2023,2023-01-29,Jan 2023,41.00,278.39,Delayed,2061,5,valid,,,
SH10581,Warehouse_MIA,Chicago,FedEx,2023-01-20,Jan 2023,2023-01-30,Jan 2023,11.90,287.05,Delivered,1896,10,valid,,,
SH10764,Warehouse_DEN,Portland,USPS,2023-01-20,Jan 2023,2023-01-25,Jan 2023,18.70,312.02,Delivered,2308,5,valid,,,
SH10799,Warehouse_CHI,Detroit,OnTrac,2023-01-20,Jan 2023,,,70.00,123.86,Delivered,283,3,invalid,,,
SH11071,Warehouse_DEN,Dallas,Amazon Logistics,2023-01-20,Jan 2023,2023-01-29,Jan 2023,10.30,310.92,Delivered,2349,9,valid,,,
SH11242,Warehouse_DEN,Houston,DHL,2023-01-20,Jan 2023,2023-01-22,Jan 2023,10.20,112.82,Delivered,751,2,valid,,,
SH10845,Warehouse_BOS,Miami,OnTrac,2023-01-20,Jan 2023,2023-01-23,Jan 2023,3.60,68.65,Returned,560,3,valid,,,
SH10180,Warehouse_DEN,Phoenix,Amazon Logistics,2023-01-21,Jan 2023,2023-01-22,Jan 2023,19.40,40.24,Delivered,152,1,valid,,,
SH10271,Warehouse_BOS,Chicago,FedEx,2023-01-21,Jan 2023,2023-01-26,Jan 2023,45.10,322.54,Delivered,2054,5,valid,,,
SH10453,Warehouse_NYC,Portland,OnTrac,2023-01-21,Jan 2023,2023-01-23,Jan 2023,45.00,124.14,Delivered,568,2,valid,,,
SH11148,Warehouse_LA,Dallas,FedEx,2023-01-21,Jan 2023,2023-01-25,Jan 2023,48.10,261.72,Delivered,1435,4,valid,,,
SH11427,Warehouse_CHI,Atlanta,DHL,2023-01-21,Jan 2023,2023-01-24,Jan 2023,19.80,117.68,Delivered,611,3,valid,,,
SH11783,Warehouse_SEA,San Francisco,DHL,2023-01-21,Jan 2023,2023-01-24,Jan 2023,12.60,201.27,Delivered,1462,3,valid,,,
SH10435,Warehouse_CHI,Phoenix,DHL,2023-01-22,Jan 2023,2023-01-25,Jan 2023,45.10,238.38,Delivered,1349,3,valid,,,
SH11061,Warehouse_SF,Dallas,UPS,2023-01-22,Jan 2023,2023-01-27,Jan 2023,10.30,237.92,Delivered,1737,5,valid,,,
SH11409,Warehouse_ATL,Minneapolis,LaserShip,2023-01-22,Jan 2023,2023-01-24,Jan 2023,5.50,70.39,Delivered,507,2,valid,,,
SH11374,Warehouse_MIA,Boston,USPS,2023-01-23,Jan 2023,2023-02-07,Feb 2023,14.90,220.29,Delayed,1859,5,valid,,,
SH10946,Warehouse_LA,Portland,UPS,2023-01-23,Jan 2023,2023-01-27,Jan 2023,45.40,172.09,Delivered,1050,4,valid,,,
SH10990,Warehouse_ATL,San Francisco,OnTrac,2023-01-23,Jan 2023,2023-01-26,Jan 2023,10.40,96.85,Delivered,762,3,valid,,,
SH11198,Warehouse_DEN,Chicago,USPS,2023-01-24,Jan 2023,2023-02-01,Feb 2023,58.90,257.07,Delivered,1762,8,valid,,,
SH11239,Warehouse_DEN,Dallas,LaserShip,2023-01-24,Jan 2023,2023-01-26,Jan 2023,25.90,66.72,Delivered,300,2,valid,,,
SH10747,Warehouse_ATL,Los Angeles,USPS,2023-01-25,Jan 2023,2023-01-27,Jan 2023,16.80,124.30,Delivered,1003,2,valid,,,
SH10923,Warehouse_MIA,Phoenix,OnTrac,2023-01-25,Jan 2023,2023-01-26,Jan 2023,71.10,114.32,Delivered,167,1,valid,,,
SH11118,Warehouse_ATL,Dallas,Amazon Logistics,2023-01-25,Jan 2023,2023-01-30,Jan 2023,44.60,209.38,Delivered,1333,5,valid,,,
SH11166,Warehouse_LA,Houston,USPS,2023-01-25,Jan 2023,2023-01-29,Jan 2023,53.60,196.98,Delivered,1047,4,valid,,,
SH11395,Warehouse_DEN,Chicago,LaserShip,2023-01-25,Jan 2023,2023-01-29,Jan 2023,11.00,98.73,Delivered,698,4,valid,,,
SH11956,Warehouse_DEN,Dallas,FedEx,2023-01-25,Jan 2023,2023-01-28,Jan 2023,26.50,181.68,Delivered,1116,3,valid,,,
SH11959,Warehouse_SEA,New York,USPS,2023-01-25,Jan 2023,2023-01-26,Jan 2023,6.10,38.31,Delivered,247,1,valid,,,
SH10016,Warehouse_CHI,Detroit,USPS,2023-01-25,Jan 2023,2023-01-26,Jan 2023,24.10,60.27,Lost,283,1,valid,,,
SH10873,Warehouse_SF,Seattle,Amazon Logistics,2023-01-26,Jan 2023,2023-02-01,Feb 2023,17.40,249.13,Delayed,1969,5,valid,,,
SH10003,Warehouse_BOS,Seattle,OnTrac,2023-01-26,Jan 2023,2023-02-04,Feb 2023,42.60,187.04,Delivered,1156,9,valid,,,
SH11559,Warehouse_SF,Dallas,OnTrac,2023-01-26,Jan 2023,2023-01-31,Jan 2023,20.70,254.82,Delivered,1956,5,valid,,,
SH11856,Warehouse_SEA,Portland,USPS,2023-01-27,Jan 2023,2023-02-08,Feb 2023,20.00,63.36,Delayed,379,2,valid,,,
SH10052,Warehouse_BOS,Chicago,Amazon Logistics,2023-01-27,Jan 2023,2023-02-01,Feb 2023,25.90,206.17,Delivered,1365,5,valid,,,
SH10392,Warehouse_SF,Boston,FedEx,2023-01-27,Jan 2023,2023-01-30,Jan 2023,110.90,283.94,Delivered,1032,3,valid,,,
SH11237,Warehouse_MIA,Detroit,USPS,2023-01-27,Jan 2023,2023-01-31,Jan 2023,10.60,107.50,Delivered,788,4,valid,,,
SH11250,Warehouse_LA,Portland,LaserShip,2023-01-27,Jan 2023,2023-01-28,Jan 2023,15.80,48.13,Delivered,250,1,valid,,,
SH11696,Warehouse_DEN,Portland,USPS,2023-01-27,Jan 2023,2023-01-29,Jan 2023,20.00,92.89,Delivered,606,2,valid,,,
SH11968,Warehouse_NYC,Seattle,LaserShip,2023-01-27,Jan 2023,2023-02-03,Feb 2023,73.20,294.41,Delivered,1577,7,valid,,,
SH10090,Warehouse_MIA,Chicago,OnTrac,2023-01-27,Jan 2023,2023-01-29,Jan 2023,10.80,83.32,Returned,530,2,valid,,,
SH10714,Warehouse_HOU,New York,LaserShip,2023-01-28,Jan 2023,2023-02-06,Feb 2023,66.50,345.16,Delayed,2301,7,valid,,,
SH10875,Warehouse_ATL,San Francisco,LaserShip,2023-01-28,Jan 2023,2023-02-02,Feb 2023,25.70,227.68,Delivered,1687,5,valid,,,
SH10955,Warehouse_MIA,Atlanta,DHL,2023-01-28,Jan 2023,2023-02-02,Feb 2023,5.10,236.05,Delivered,1773,5,valid,,,
SH11184,Warehouse_NYC,Denver,USPS,2023-01-28,Jan 2023,2023-01-29,Jan 2023,21.70,78.83,Delivered,461,1,valid,,,
SH11324,Warehouse_LA,Los Angeles,UPS,2023-01-28,Jan 2023,2023-01-31,Jan 2023,51.50,165.79,Delivered,926,3,valid,,,
SH11741,Warehouse_SF,Minneapolis,USPS,2023-01-28,Jan 2023,2023-02-04,Feb 2023,15.70,199.62,Delivered,1715,7,valid,,,
SH11440,Warehouse_SEA,Dallas,UPS,2023-01-28,Jan 2023,2023-01-29,Jan 2023,7.70,30.59,In Transit,166,1,valid,,,
SH10940,Warehouse_DEN,Minneapolis,FedEx,2023-01-29,Jan 2023,2023-02-07,Feb 2023,40.90,307.96,Delivered,1805,9,valid,,,
SH11354,Warehouse_HOU,Seattle,OnTrac,2023-01-29,Jan 2023,2023-01-30,Jan 2023,24.30,115.18,Delivered,663,1,valid,,,
SH11423,Warehouse_HOU,San Francisco,USPS,2023-01-29,Jan 2023,2023-01-31,Jan 2023,13.20,57.43,Delivered,377,2,valid,,,
SH11693,Warehouse_DEN,Houston,UPS,2023-01-29,Jan 2023,2023-02-03,Feb 2023,16.00,205.32,Delivered,1575,5,valid,,,
SH11911,Warehouse_CHI,Denver,FedEx,2023-01-29,Jan 2023,2023-02-02,Feb 2023,34.90,162.44,Delivered,1000,4,valid,,,
SH11922,Warehouse_MIA,Denver,OnTrac,2023-01-29,Jan 2023,2023-02-02,Feb 2023,35.60,107.89,Delivered,542,4,valid,,,
SH10333,Warehouse_NYC,Houston,OnTrac,2023-01-30,Jan 2023,2023-02-03,Feb 2023,22.70,218.75,Delivered,1541,4,valid,,,
SH11283,Warehouse_ATL,Minneapolis,FedEx,2023-01-30,Jan 2023,2023-02-03,Feb 2023,40.10,122.44,Delivered,454,4,valid,,,
SH11624,Warehouse_DEN,Miami,OnTrac,2023-01-30,Jan 2023,2023-02-03,Feb 2023,16.20,230.74,Delivered,1651,4,valid,,,
SH11651,Warehouse_DEN,New York,Amazon Logistics,2023-01-30,Jan 2023,2023-02-01,Feb 2023,16.20,106.95,Delivered,715,2,valid,,,
SH10199,Warehouse_HOU,San Francisco,OnTrac,2023-01-31,Jan 2023,2023-02-03,Feb 2023,20.10,169.98,Delivered,1108,3,valid,,,
SH10203,Warehouse_SF,Boston,DHL,2023-01-31,Jan 2023,2023-02-05,Feb 2023,61.10,350.67,Delivered,2138,5,valid,,,
SH10433,Warehouse_HOU,Minneapolis,DHL,2023-01-31,Jan 2023,2023-02-02,Feb 2023,16.80,118.63,Delivered,658,2,valid,,,
SH11267,Warehouse_LA,Portland,Amazon Logistics,2023-01-31,Jan 2023,2023-02-03,Feb 2023,9.60,153.95,Delivered,1168,3,valid,,,
SH11316,Warehouse_SEA,Chicago,USPS,2023-01-31,Jan 2023,2023-02-06,Feb 2023,34.60,280.53,Delivered,2109,6,valid,,,
SH11928,Warehouse_LA,Phoenix,LaserShip,2023-01-31,Jan 2023,2023-02-03,Feb 2023,20.50,75.98,Delivered,373,3,valid,,,
SH10519,Warehouse_LA,Phoenix,USPS,2023-02-01,Feb 2023,2023-02-09,Feb 2023,21.40,68.02,Delayed,373,3,valid,,,
SH11215,Warehouse_DEN,Dallas,LaserShip,2023-02-01,Feb 2023,2023-02-03,Feb 2023,17.50,66.25,Delivered,438,2,valid,,,
SH10785,Warehouse_ATL,Denver,LaserShip,2023-02-01,Feb 2023,2023-02-05,Feb 2023,34.00,193.60,Lost,1192,4,valid,,,
SH10112,Warehouse_HOU,Chicago,Amazon Logistics,2023-02-02,Feb 2023,2023-02-16,Feb 2023,7.60,41.42,Delayed,277,2,valid,,,
SH10010,Warehouse_MIA,Chicago,FedEx,2023-02-02,Feb 2023,2023-02-07,Feb 2023,7.10,251.53,Delivered,1736,5,valid,,,
SH10937,Warehouse_ATL,Denver,FedEx,2023-02-02,Feb 2023,2023-02-09,Feb 2023,11.80,306.43,Delivered,2442,7,valid,,,
SH11645,Warehouse_LA,Los Angeles,DHL,2023-02-02,Feb 2023,2023-02-08,Feb 2023,15.50,351.50,Delivered,2499,6,valid,,,
SH10527,Warehouse_LA,Phoenix,OnTrac,2023-02-03,Feb 2023,2023-02-06,Feb 2023,32.20,83.70,Delivered,373,3,valid,,,
SH10829,Warehouse_CHI,Detroit,OnTrac,2023-02-03,Feb 2023,2023-02-04,Feb 2023,,35.85,Delivered,283,1,valid,,,
SH11450,Warehouse_DEN,Miami,DHL,2023-02-03,Feb 2023,2023-02-11,Feb 2023,7.40,348.30,Delivered,2239,8,valid,,,
SH11462,Warehouse_SF,Phoenix,DHL,2023-02-03,Feb 2023,2023-02-10,Feb 2023,34.40,214.60,Delivered,1229,7,valid,,,
SH11627,Warehouse_NYC,Houston,DHL,2023-02-03,Feb 2023,2023-02-08,Feb 2023,7.40,252.34,Delivered,1879,5,valid,,,
SH11488,Warehouse_BOS,Phoenix,USPS,2023-02-03,Feb 2023,2023-02-04,Feb 2023,22.50,63.76,In Transit,289,1,valid,,,
SH11260,Warehouse_MIA,Chicago,UPS,2023-02-04,Feb 2023,2023-02-07,Feb 2023,13.10,195.45,Delivered,1331,3,valid,,,
SH11792,Warehouse_DEN,San Francisco,Amazon Logistics,2023-02-04,Feb 2023,2023-02-07,Feb 2023,17.90,54.51,Delivered,255,3,valid,,,
SH10143,Warehouse_LA,San Francisco,OnTrac,2023-02-05,Feb 2023,2023-02-12,Feb 2023,36.60,310.16,Delivered,2497,7,valid,,,
SH10326,Warehouse_CHI,Denver,Amazon Logistics,2023-02-05,Feb 2023,2023-02-09,Feb 2023,27.60,165.20,Delivered,1000,4,valid,,,
