shopping_mall,month_date,monthly_revenue
Kanyon,2021-02-01,488176.11
Kanyon,2021-03-01,556724.15
Kanyon,2021-04-01,501517.69
Kanyon,2021-05-01,525948.16
Kanyon,2021-06-01,489140.48
Kanyon,2021-07-01,535771.26
Kanyon,2021-08-01,552884.49
Kanyon,2021-09-01,520819.81
Kanyon,2021-10-01,534454.63
Kanyon,2021-11-01,452829.86
Kanyon,2021-12-01,532732.56
Kanyon,2022-01-01,499161.43
Kanyon,2022-02-01,469178.33
Kanyon,2022-03-01,528260.25
Kanyon,2022-04-01,521887.73
Kanyon,2022-05-01,513442.88
Kanyon,2022-06-01,538432.57
Kanyon,2022-07-01,553782.55
Kanyon,2022-08-01,527383.81
Kanyon,2022-09-01,482692.14
Kanyon,2022-10-01,588465.47
Kanyon,2022-11-01,473293.25
Kanyon,2022-12-01,543335.02
Kanyon,2023-01-01,537579.24
Kanyon,2023-02-01,530553.31
Kanyon,2023-03-01,143225.77
Mall of Istanbul,2021-01-01,595824.61
Mall of Istanbul,2021-02-01,525577.98
Mall of Istanbul,2021-03-01,491726.61
Mall of Istanbul,2021-04-01,533020.01
Mall of Istanbul,2021-05-01,546757.53
Mall of Istanbul,2021-06-01,538459.70
Mall of Istanbul,2021-07-01,537365.99
Mall of Istanbul,2021-08-01,538969.10
Mall of Istanbul,2021-09-01,502780.65
Mall of Istanbul,2021-10-01,508603.93
Mall of Istanbul,2021-11-01,521008.74
Mall of Istanbul,2021-12-01,487398.62
Mall of Istanbul,2022-01-01,552966.79
Mall of Istanbul,2022-02-01,500824.77
Mall of Istanbul,2022-03-01,534138.50
Mall of Istanbul,2022-04-01,472302.13
Mall of Istanbul,2022-05-01,557067.08
Mall of Istanbul,2022-06-01,518876.18
Mall of Istanbul,2022-07-01,572754.25
Mall of Istanbul,2022-08-01,544341.37
Mall of Istanbul,2022-09-01,484742.93
Mall of Istanbul,2022-10-01,575923.19
Mall of Istanbul,2022-11-01,495004.06
Mall of Istanbul,2022-12-01,551332.31
Mall of Istanbul,2023-01-01,527834.99
Mall of Istanbul,2023-02-01,510809.95
Mall of Istanbul,2023-03-01,125325.65
Metrocity,2021-01-01,337679.78
Metrocity,2021-02-01,357549.20
Metrocity,2021-03-01,406619.08
Metrocity,2021-04-01,340863.61
Metrocity,2021-05-01,365506.78
Metrocity,2021-06-01,382749.12
Metrocity,2021-07-01,412367.35
Metrocity,2021-08-01,419245.82
Metrocity,2021-09-01,375297.61
Metrocity,2021-10-01,435252.15
Metrocity,2021-11-01,383402.73
Metrocity,2021-12-01,380446.51
Metrocity,2022-01-01,403915.32
Metrocity,2022-02-01,311223.40
Metrocity,2022-03-01,373363.03
Metrocity,2022-04-01,413502.64
Metrocity,2022-05-01,397925.30
Metrocity,2022-06-01,427443.34
Metrocity,2022-07-01,408848.49
Metrocity,2022-08-01,383879.15
Metrocity,2022-09-01,430655.26
Metrocity,2022-10-01,418118.67
Metrocity,2022-11-01,370536.47
Metrocity,2022-12-01,398196.47
Metrocity,2023-01-01,424477.36
Metrocity,2023-02-01,397030.08
Metrocity,2023-03-01,93885.35
Metropol AVM,2021-01-01,246923.27
Metropol AVM,2021-02-01,264153.95
Metropol AVM,2021-03-01,291213.30
Metropol AVM,2021-04-01,258204.87
Metropol AVM,2021-05-01,282145.92
Metropol AVM,2021-06-01,279777.53
Metropol AVM,2021-07-01,238542.44
Metropol AVM,2021-08-01,280338.44
Metropol AVM,2021-09-01,270688.73
Metropol AVM,2021-10-01,275781.33
Metropol AVM,2021-11-01,275759.78
Metropol AVM,2021-12-01,279141.07
Metropol AVM,2022-01-01,266237.41
Metropol AVM,2022-02-01,213701.71
Metropol AVM,2022-03-01,312840.16
Metropol AVM,2022-04-01,244737.56
Metropol AVM,2022-05-01,258051.27
Metropol AVM,2022-06-01,246683.14
Metropol AVM,2022-07-01,250956.76
Metropol AVM,2022-08-01,259923.26
Metropol AVM,2022-09-01,270777.59
Metropol AVM,2022-10-01,232793.56
Metropol AVM,2022-11-01,282179.43
Metropol AVM,2022-12-01,263771.19
Metropol AVM,2023-01-01,290247.45
Metropol AVM,2023-02-01,225621.65
Metropol AVM,2023-03-01,76800.22
Viaport Outlet,2021-01-01,120759.56
Viaport Outlet,2021-02-01,105138.52
Viaport Outlet,2021-03-01,119565.88
Viaport Outlet,2021-04-01,143287.59
Viaport Outlet,2021-05-01,144494.97
Viaport Outlet,2021-06-01,116511.72
Viaport Outlet,2021-07-01,145857.04
Viaport Outlet,2021-08-01,142299.56
Viaport Outlet,2021-09-01,105070.28
Viaport Outlet,2021-10-01,155493.33
Viaport Outlet,2021-11-01,130636.62
Viaport Outlet,2021-12-01,129713.57
Viaport Outlet,2022-01-01,101869.77
Viaport Outlet,2022-02-01,127277.79
Viaport Outlet,2022-03-01,124558.02
Viaport Outlet,2022-04-01,130158.15
Viaport Outlet,2022-05-01,120970.46
Viaport Outlet,2022-06-01,133567.49
Viaport Outlet,2022-07-01,172450.50
Viaport Outlet,2022-08-01,126325.22
Viaport Outlet,2022-09-01,125825.43
Viaport Outlet,2022-10-01,141081.17
Viaport Outlet,2022-11-01,126900.90
Viaport Outlet,2022-12-01,149107.37
Viaport Outlet,2023-01-01,117635.66
Viaport Outlet,2023-02-01,126544.75
Viaport Outlet,2023-03-01,30918.14
Zorlu Center,2021-01-01,130486.83
Zorlu Center,2021-02-01,94216.47
Zorlu Center,2021-03-01,127421.60
Zorlu Center,2021-04-01,137246.87
Zorlu Center,2021-05-01,122033.96
Zorlu Center,2021-06-01,136498.18
Zorlu Center,2021-07-01,146991.82
Zorlu Center,2021-08-01,120206.54
Zorlu Center,2021-09-01,131439.66
Zorlu Center,2021-10-01,139232.06
Zorlu Center,2021-11-01,133376.13
Zorlu Center,2021-12-01,134715.99
Zorlu Center,2022-01-01,142727.78
Zorlu Center,2022-02-01,117274.94
Zorlu Center,2022-03-01,144797.20
Zorlu Center,2022-04-01,135610.27
Zorlu Center,2022-05-01,126401.19
Zorlu Center,2022-06-01,139707.50
Zorlu Center,2022-07-01,149122.92
Zorlu Center,2022-08-01,138849.13
Zorlu Center,2022-09-01,144916.87
Zorlu Center,2022-10-01,104698.65
Zorlu Center,2022-11-01,134025.42
Zorlu Center,2022-12-01,141308.99
Zorlu Center,2023-01-01,124086.87
Zorlu Center,2023-02-01,186499.85
Zorlu Center,2023-03-01,25755.33
