month_date,category,monthly_revenue
2022-04-01,Food & Beverage,9419.23
2022-04-01,Books,8211.30
2022-04-01,Souvenir,6381.12
2022-05-01,Clothing,1201520.32
2022-05-01,Shoes,720204.00
2022-05-01,Technology,624750.00
2022-05-01,Cosmetics,70545.10
2022-05-01,Toys,43509.76
2022-05-01,Food & Beverage,9157.73
2022-05-01,Books,8817.30
2022-05-01,Souvenir,6052.68
2022-06-01,Clothing,1150206.64
2022-06-01,Shoes,734007.91
2022-06-01,Technology,593250.00
2022-06-01,Cosmetics,70789.06
2022-06-01,Toys,40642.56
2022-06-01,Books,8832.45
2022-06-01,Food & Beverage,8796.86
2022-06-01,Souvenir,6580.53
2022-07-01,Clothing,1248032.72
2022-07-01,Shoes,746011.31
2022-07-01,Technology,621600.00
2022-07-01,Cosmetics,67617.58
2022-07-01,Toys,41072.64
2022-07-01,Books,9953.55
2022-07-01,Food & Beverage,8979.91
2022-07-01,Souvenir,6287.28
2022-08-01,Clothing,1165810.80
2022-08-01,Shoes,723204.85
2022-08-01,Technology,602700.00
2022-08-01,Cosmetics,75464.96
2022-08-01,Toys,45015.04
2022-08-01,Books,9589.95
2022-08-01,Food & Beverage,8535.36
2022-08-01,Souvenir,7917.75
2022-09-01,Clothing,1141804.40
2022-09-01,Shoes,688394.99
2022-09-01,Technology,617400.00
2022-09-01,Cosmetics,72822.06
2022-09-01,Toys,41072.64
2022-09-01,Books,8484.00
2022-09-01,Food & Beverage,8373.23
2022-09-01,Souvenir,6557.07
2022-10-01,Clothing,1235129.28
2022-10-01,Technology,710850.00
2022-10-01,Shoes,667989.21
2022-10-01,Cosmetics,76074.86
2022-10-01,Toys,41610.24
2022-10-01,Food & Beverage,8807.32
2022-10-01,Books,8680.95
2022-10-01,Souvenir,6697.83
2022-11-01,Clothing,1113896.96
2022-11-01,Shoes,648183.60
2022-11-01,Technology,542850.00
2022-11-01,Cosmetics,72822.06
2022-11-01,Toys,45911.04
2022-11-01,Food & Beverage,8922.38
2022-11-01,Books,8787.00
2022-11-01,Souvenir,6615.72
2022-12-01,Clothing,1161609.68
2022-12-01,Shoes,720204.00
2022-12-01,Technology,657300.00
2022-12-01,Cosmetics,69203.32
2022-12-01,Toys,42076.16
2022-12-01,Books,9620.25
2022-12-01,Food & Beverage,9230.95
2022-12-01,Souvenir,6193.44
2023-01-01,Clothing,1185316.00
2023-01-01,Shoes,691996.01
2023-01-01,Technology,597450.00
2023-01-01,Cosmetics,78880.40
2023-01-01,Toys,41681.92
2023-01-01,Books,9226.35
2023-01-01,Food & Beverage,9016.52
2023-01-01,Souvenir,6486.69
2023-02-01,Clothing,1142704.64
2023-02-01,Technology,658350.00
2023-02-01,Shoes,628978.16
2023-02-01,Cosmetics,65625.24
2023-02-01,Toys,38814.72
2023-02-01,Books,9211.20
2023-02-01,Food & Beverage,8195.41
2023-02-01,Souvenir,6580.53
2023-03-01,Clothing,312083.20
2023-03-01,Shoes,193854.91
2023-03-01,Technology,143850.00
2023-03-01,Cosmetics,20614.62
2023-03-01,Toys,8064.00
2023-03-01,Food & Beverage,2301.20
2023-03-01,Books,1651.35
2023-03-01,Souvenir,1302.03
