invoice_date,price
2022-08-04,81.32
2021-04-01,10.46
2021-08-08,2400.68
2021-06-28,3150.00
2021-01-25,1500.40
2021-11-22,1200.32
2022-11-13,121.98
2022-08-12,1200.32
2022-09-18,71.68
2021-06-08,1200.32
2021-08-30,162.64
2022-06-19,107.52
2022-12-15,900.24
2021-12-29,81.32
2022-06-19,121.98
2021-06-16,75.75
2021-02-07,600.17
2023-01-17,15.69
2022-01-20,203.30
2022-07-31,23.46
2021-09-30,600.17
2022-04-06,5.23
2022-11-14,203.30
2021-02-24,900.24
2021-05-25,46.92
2021-03-22,600.16
2022-12-22,300.08
2021-07-07,26.15
2021-09-18,5.23
2022-02-18,81.32
2021-06-13,10.46
2021-05-30,179.20
2021-03-26,1200.32
2022-07-27,2100.00
2022-04-06,23.46
2022-02-04,1500.40
2022-06-26,46.92
2022-07-25,26.15
2021-09-19,35.84
2022-10-10,600.16
2022-03-29,2100.00
2021-07-09,300.08
2022-01-25,11.73
2021-12-14,75.75
2022-09-04,300.08
2022-08-14,71.68
2022-02-03,81.32
2021-01-03,1200.32
2021-12-05,26.15
2022-06-14,107.52
2021-08-13,1200.32
2022-01-11,1200.34
2021-12-22,121.98
2021-02-04,81.32
2022-02-22,121.98
2021-09-14,107.52
2021-08-03,300.08
2023-01-02,46.92
2022-11-23,35.84
2023-01-10,300.08
2022-01-10,2400.68
2022-08-06,5.23
2023-02-19,81.32
2021-06-29,15.69
2021-07-01,600.16
2022-02-07,5.23
2021-10-10,71.68
2021-06-30,900.24
2022-03-24,60.60
2022-09-17,121.98
2021-07-31,81.32
2022-11-21,46.92
2022-09-04,10.46
2021-02-18,121.98
2021-03-21,35.19
2022-09-02,20.92
2021-06-16,107.52
2023-01-26,107.52
2022-07-01,1500.40
2023-01-25,203.30
2022-09-23,203.30
2021-09-08,300.08
2022-10-31,3150.00
2021-10-18,1500.40
2022-07-15,1200.32
2021-05-31,58.65
2021-12-22,1200.34
2022-10-28,58.65
2021-06-13,40.66
2022-09-25,20.92
2021-08-18,15.15
2021-09-16,10.46
2022-11-15,203.30
2021-08-07,15.69
2021-05-25,300.08
2022-07-12,600.16
2022-09-14,15.69
2022-03-06,600.17
2023-02-23,162.64
2021-06-25,121.98
2022-07-31,600.16
2021-04-08,81.32
2021-04-01,600.16
2022-02-13,2400.68
2022-06-15,75.75
2022-07-19,107.52
2022-07-01,15.69
2021-06-19,300.08
2022-01-11,179.20
2022-12-05,26.15
2021-04-21,300.08
2021-11-10,300.08
2022-09-19,143.36
2021-01-18,600.16
2022-04-21,600.17
2022-11-25,600.17
2022-11-09,1500.40
2022-01-03,5250.00
2022-02-19,600.16
2022-12-15,1800.51
2021-11-08,600.16
2022-05-01,20.92
2021-04-14,600.16
2021-06-28,203.30
2022-06-10,3000.85
2022-05-12,900.24
2022-12-27,1500.40
2021-08-16,5.23
2021-03-05,10.46
2023-02-09,1050.00
2023-02-26,162.64
2023-02-17,1200.34
2022-08-08,203.30
2021-10-02,3000.85
2021-12-22,20.92
2021-09-12,300.08
2022-03-23,2400.68
2021-12-11,1500.40
2022-12-29,15.15
2021-02-10,15.69
2021-05-10,300.08
2022-03-06,15.69
2021-03-29,143.36
2022-10-04,5250.00
2021-11-04,1500.40
2022-11-08,300.08
2021-05-17,1200.32
2022-06-16,121.98
2022-09-24,3150.00
2022-04-04,162.64
2022-10-18,5.23
2021-10-16,5.23
2021-05-17,1200.32
2023-02-03,300.08
2022-11-15,1500.40
2021-07-29,23.46
2021-07-17,143.36
2022-03-08,300.08
2022-09-22,3000.85
2022-08-01,300.08
2021-04-03,1500.40
2021-11-21,1500.40
2021-09-17,1500.40
2022-08-09,75.75
2021-09-08,11.73
2021-10-08,20.92
2021-03-03,300.08
2021-12-26,1200.32
2023-02-13,203.30
2021-07-04,1200.32
2021-01-26,300.08
2022-10-05,10.46
2021-04-05,75.75
2021-03-27,23.46
2022-11-21,58.65
2022-02-21,1200.34
2022-08-22,143.36
2022-12-06,121.98
2021-03-25,1800.51
2021-03-05,35.84
2021-08-02,1800.51
2021-04-16,20.92
2023-02-03,1500.40
2022-05-06,26.15
2022-02-05,600.17
2022-12-01,35.84
2021-12-16,600.16
2023-01-06,162.64
2021-12-08,15.69
2021-02-23,26.15
2022-01-07,46.92
2022-02-14,5.23
2022-05-20,600.16
2021-10-15,300.08
2023-02-02,4200.00
2021-11-09,300.08
2023-01-09,10.46
2021-11-22,3150.00
2023-01-07,300.08
2022-09-23,121.98
2022-06-24,4200.00
2021-07-04,179.20
2021-08-23,26.15
2022-08-11,26.15
2021-08-02,162.64
2022-07-07,2100.00
2022-02-13,107.52
2022-10-17,1800.51
2022-11-14,162.64
2021-03-24,900.24
2021-02-19,162.64
2022-11-12,15.15
2021-04-13,81.32
2021-05-03,600.16
2022-04-24,900.24
2022-12-17,900.24
2022-11-19,20.92
2022-09-22,179.20
2022-03-16,600.16
2022-01-01,20.92
2021-07-23,15.69
2021-12-22,40.66
2022-03-09,81.32
2022-02-20,35.84
2021-11-14,600.16
2022-01-23,121.98
2021-01-16,1500.40
2022-04-02,121.98
2022-10-16,75.75
2023-01-18,300.08
2022-09-27,10.46
2022-01-31,600.16
2022-12-10,900.24
2022-04-08,10.46
2022-08-05,1500.40
2023-01-07,2400.68
2021-06-28,1200.32
2022-06-04,71.68
2021-07-25,900.24
2021-02-14,10.46
2022-07-28,23.46
2022-09-09,15.69
2022-03-19,3000.85
2022-12-25,121.98
2022-09-20,35.84
2022-04-12,58.65
2021-10-03,162.64
2022-06-13,15.69
2021-07-01,900.24
2022-07-08,1500.40
2022-02-02,71.68
2022-11-10,900.24
2023-01-01,35.84
2021-11-06,15.15
2021-04-09,300.08
2021-07-31,81.32
2022-08-15,900.24
2021-08-24,15.69
2022-01-24,1500.40
2022-06-14,10.46
2021-12-05,46.92
2021-10-12,2100.00
2022-04-21,162.64
2021-06-24,35.84
2021-05-09,40.66
2021-09-11,81.32
2021-10-01,5.23
2021-08-01,81.32
2021-09-04,40.66
2021-05-21,121.98
2022-07-11,10.46
2023-01-02,3000.85
2021-06-29,203.30
2021-03-21,20.92
2022-03-25,143.36
2021-05-10,10.46
2022-03-24,26.15
2021-10-19,20.92
2022-03-15,20.92
2022-11-24,46.92
2022-07-21,300.08
2021-03-29,60.60
2022-12-26,900.24
2023-01-21,10.46
2021-11-06,20.92
2021-12-12,75.75
2022-11-11,1500.40
2022-06-25,10.46
2022-07-04,600.16
2023-02-02,45.45
2021-01-30,900.24
2023-02-19,15.69
2022-06-22,5.23
2022-10-16,121.98
2022-12-09,1200.34
2022-12-01,35.84
2021-09-06,600.17
2022-02-07,600.17
2021-12-16,81.32
2022-03-12,179.20
2022-12-15,45.45
2021-12-26,300.08
2021-01-04,162.64
2022-04-27,1500.40
2023-02-19,600.16
2021-01-28,46.92
2021-06-19,300.08
2021-07-16,121.98
2021-11-03,10.46
2021-11-16,1500.40
2022-11-27,900.24
2021-08-02,107.52
2022-08-26,1050.00
2021-09-08,600.17
2022-01-01,600.17
2023-01-11,300.08
2021-08-28,1500.40
2021-03-01,40.66
2021-05-22,26.15
2021-03-09,1500.40
2021-04-21,5250.00
2021-05-03,2400.68
2022-01-13,1050.00
2022-03-12,58.65
2022-11-15,300.08
2021-10-20,121.98
2021-09-30,203.30
2021-01-31,162.64
2021-07-08,20.92
2021-10-07,1500.40
2021-07-09,71.68
2021-01-13,2400.68
2022-07-20,600.17
2021-09-01,900.24
2022-10-25,300.08
2022-06-17,121.98
2021-05-09,40.66
2022-04-29,2400.68
2021-11-09,900.24
2021-10-08,203.30
2022-05-29,600.16
2022-08-22,26.15
2022-11-16,5.23
2022-08-17,58.65
2023-02-10,15.69
2021-01-20,81.32
2022-05-19,60.60
2023-01-30,4200.00
2021-02-25,26.15
2022-12-18,179.20
2022-07-16,162.64
2022-01-18,900.24
2021-09-11,15.69
2022-08-07,600.16
2021-01-31,20.92
2021-07-15,5.23
2021-10-16,75.75
2021-03-29,300.08
2021-09-22,300.08
2021-03-20,35.84
2022-08-28,162.64
2022-06-03,1200.32
2021-03-27,1200.34
2021-11-04,162.64
2021-08-11,600.16
2022-08-05,26.15
2022-10-02,143.36
2022-12-30,1200.32
2022-01-05,1500.40
2022-02-28,35.84
2022-11-10,600.16
2022-11-29,1200.34
2021-08-21,35.84
2021-06-29,15.69
2021-07-07,1200.32
2022-08-27,71.68
2023-02-26,58.65
2021-12-27,600.17
2023-02-01,40.66
2022-02-10,11.73
2021-01-31,600.16
2021-11-25,162.64
2023-01-18,1200.32
2021-03-15,900.24
2022-12-03,1500.40
2022-04-24,20.92
2022-08-19,81.32
2021-11-28,20.92
2021-06-14,300.08
2021-01-08,71.68
2021-05-12,40.66
2022-11-02,900.24
2022-09-17,600.16
2022-05-01,1200.32
2022-11-17,162.64
2022-06-17,81.32
2022-07-14,1200.34
2022-07-21,300.08
2021-07-28,162.64
2021-06-08,600.17
2022-06-14,23.46
2021-02-03,143.36
2022-08-05,2400.68
2022-04-01,15.15
2022-11-10,10.46
2023-02-11,1200.32
2023-02-26,5250.00
2022-12-01,121.98
2021-02-04,1200.32
2021-09-22,600.16
2021-03-05,5.23
2023-02-06,1200.32
2022-11-17,10.46
2021-10-11,26.15
2021-03-06,3000.85
2022-03-17,1500.40
2021-02-09,10.46
2021-03-15,4200.00
2023-02-01,203.30
2021-09-27,1500.40
2022-02-20,2400.68
2023-01-25,26.15
2021-07-30,3150.00
2021-04-18,15.69
2021-02-08,300.08
2022-08-18,35.84
2021-09-10,1200.32
2021-07-27,900.24
2021-04-03,179.20
2021-06-03,143.36
2021-01-12,23.46
2021-01-07,15.69
2021-04-29,81.32
2021-07-01,600.16
2021-07-28,5.23
2021-09-09,121.98
2021-09-20,15.69
2021-07-16,162.64
2023-01-23,900.24
2021-06-26,15.69
2022-01-05,1200.32
2022-12-04,71.68
2021-09-24,1500.40
2022-09-13,58.65
2023-02-24,1800.51
2021-03-04,4200.00
2021-02-24,5.23
2021-12-02,1500.40
2022-10-30,2400.68
2022-12-09,300.08
2023-01-29,5.23
2022-04-26,35.19
2021-01-03,900.24
2022-04-20,300.08
2022-12-20,1800.51
2023-02-08,300.08
2022-09-17,1200.32
2022-07-07,203.30
2022-09-15,1500.40
2022-11-27,600.16
2022-12-26,1800.51
2022-09-16,20.92
2021-03-01,3000.85
2021-04-28,1500.40
2021-04-23,71.68
2021-10-10,600.16
2022-04-10,10.46
2022-12-02,20.92
2022-08-27,600.16
2021-09-13,40.66
2022-09-15,143.36
2022-06-11,40.66
2021-07-13,2400.68
2021-12-14,5.23
2022-09-09,1500.40
2023-01-29,1800.51
2022-07-05,1200.32
2021-11-04,1500.40
2021-03-14,300.08
2022-07-23,2400.68
2021-10-13,900.24
2021-08-31,2100.00
2022-11-24,10.46
2021-05-04,300.08
2021-06-20,600.16
2021-12-03,203.30
2023-01-04,600.17
2022-03-01,5.23
2023-01-17,75.75
2021-07-01,1500.40
2023-02-28,107.52
2021-06-05,26.15
2021-12-13,1200.32
2022-03-14,15.69
2021-03-20,1200.32
2022-09-05,10.46
2022-12-27,900.24
2023-02-08,300.08
2021-06-27,900.24
2022-10-16,1500.40
2021-09-26,3000.85
2021-07-28,5.23
2021-10-13,203.30
2021-02-20,600.16
2021-05-25,143.36
2021-12-04,26.15
2021-02-18,10.46
2021-03-03,5250.00
2021-08-25,203.30
2021-09-18,15.69
2021-06-12,5.23
2022-08-12,3150.00
2021-03-28,203.30
2021-03-14,179.20
2021-01-10,35.84
2021-11-06,1200.32
2022-12-21,600.17
2022-04-21,5.23
2022-03-22,162.64
2022-05-13,4200.00
2021-07-07,600.16
2022-06-22,203.30
2021-07-05,143.36
2022-10-16,15.15
2021-08-01,600.16
2022-10-28,2400.68
2021-10-29,35.84
2022-11-10,107.52
2021-07-06,1200.32
2021-10-27,121.98
2021-06-16,46.92
2022-07-21,900.24
2021-06-24,300.08
2021-04-28,40.66
2021-03-17,162.64
2021-03-31,75.75
2021-07-13,1500.40
2021-11-21,1200.32
2022-02-27,600.16
2021-11-22,179.20
2022-03-30,600.17
2022-05-13,900.24
2022-12-02,2400.68
2022-08-10,1500.40
2021-04-13,4200.00
2022-03-12,1500.40
2022-10-07,1050.00
2021-03-17,26.15
2022-08-10,600.16
2021-09-28,35.84
2021-10-12,900.24
2021-03-29,143.36
2021-05-21,162.64
2022-03-31,10.46
2021-03-27,900.24
2022-07-23,300.08
2022-03-08,1200.32
2021-02-04,1500.40
2021-01-24,81.32
2021-02-02,1500.40
2022-05-16,1500.40
2021-12-17,15.69
2022-05-03,10.46
2021-08-27,5.23
2022-01-11,58.65
2022-01-07,3150.00
2022-08-19,300.08
2022-01-17,4200.00
2021-05-05,600.16
2022-01-04,107.52
2021-10-26,162.64
2022-06-17,15.69
2021-04-20,300.08
2022-04-04,162.64
2022-02-25,58.65
2021-05-06,15.69
2021-11-13,162.64
2022-08-03,900.24
2023-02-04,81.32
2022-08-27,107.52
2022-10-31,300.08
2022-03-27,2400.68
2022-05-30,11.73
2021-01-20,5.23
2022-12-23,15.15
2022-11-06,900.24
2022-10-21,5.23
2021-11-23,600.16
2022-01-15,35.19
2022-06-06,15.69
2021-09-02,45.45
2022-07-10,600.16
2022-04-14,15.69
2022-03-14,900.24
2021-05-01,162.64
2022-04-22,2400.68
2023-02-26,20.92
2021-02-08,15.69
2022-11-21,300.08
2021-02-10,1500.40
2022-03-22,143.36
2022-10-11,107.52
2022-05-10,1500.40
2021-08-04,600.17
2022-09-18,71.68
2022-04-01,2400.68
2022-03-11,40.66
2022-03-03,5250.00
2022-05-31,11.73
2021-01-23,600.16
2022-02-17,81.32
2021-05-12,900.24
2022-06-26,900.24
2021-10-22,900.24
2021-12-12,5.23
2021-09-16,121.98
2021-08-30,900.24
2021-11-29,600.16
2021-06-07,4200.00
2021-09-18,3000.85
2022-10-03,81.32
2022-03-14,15.69
2023-01-12,75.75
2023-02-25,1800.51
2021-11-01,10.46
2021-11-23,1050.00
2022-03-12,1800.51
2021-05-12,1200.32
2022-10-30,46.92
2023-01-16,900.24
2022-08-26,3000.85
2022-11-26,26.15
2021-07-09,107.52
2021-05-26,1800.51
2021-12-14,5.23
2022-07-15,35.84
2022-04-14,1050.00
2021-01-16,1200.32
2022-06-03,203.30
2021-03-16,1500.40
2022-02-07,300.08
2021-04-12,10.46
2022-05-04,143.36
2022-08-06,81.32
2022-05-09,1200.32
2021-05-22,203.30
2023-01-10,2400.68
2022-04-25,40.66
2022-10-08,300.08
2022-10-13,1500.40
2022-09-08,300.08
2022-12-05,5250.00
2022-03-13,600.16
2021-05-16,15.15
2021-12-26,81.32
2022-05-12,15.69
2022-12-14,71.68
2021-09-18,35.84
2022-11-16,2400.68
2022-10-19,300.08
2022-08-17,81.32
2021-12-23,81.32
2021-11-16,5250.00
2021-08-02,15.69
2021-02-17,5250.00
2021-05-06,203.30
2022-10-03,20.92
2021-06-15,179.20
2021-02-14,3000.85
2023-02-21,81.32
2022-09-03,81.32
2021-09-20,121.98
2022-05-09,11.73
2022-05-30,900.24
2022-03-12,4200.00
2022-03-25,26.15
2021-09-27,1500.40
2021-11-14,40.66
2022-05-29,35.84
2021-03-09,5.23
2022-02-12,30.30
2022-03-07,300.08
2021-02-05,143.36
2022-12-05,1200.32
2021-04-14,26.15
2021-10-04,1500.40
2023-01-15,40.66
2022-06-07,1200.34
2022-11-07,1200.32
2021-07-05,1800.51
2022-10-22,300.08
2023-02-24,40.66
2022-04-12,15.69
2021-02-27,900.24
2021-03-31,40.66
2021-03-16,1500.40
2023-02-09,5.23
2021-02-28,1800.51
2022-03-26,121.98
2023-01-27,121.98
2021-03-29,45.45
2021-01-21,900.24
2022-05-22,40.66
2022-03-07,900.24
2022-07-30,600.16
2021-04-10,3000.85
2022-03-05,179.20
2021-04-20,30.30
2022-11-01,26.15
2023-02-13,600.16
2021-04-10,46.92
2022-05-25,26.15
2022-12-26,1200.34
2021-05-19,600.16
2022-12-21,20.92
2021-06-17,900.24
2022-11-23,81.32
2021-03-19,1200.32
2022-08-30,1500.40
2022-12-12,162.64
2021-10-11,10.46
2021-12-16,107.52
2021-05-05,300.08
2022-05-14,300.08
2022-11-21,10.46
2022-11-13,2400.68
2021-08-17,1500.40
2021-08-20,35.84
2021-03-06,179.20
2022-01-09,300.08
2021-04-09,15.15
2023-02-17,10.46
2022-08-18,1500.40
2022-09-10,203.30
2021-06-25,107.52
2022-10-26,15.69
2022-02-22,300.08
2022-05-18,179.20
2023-02-13,121.98
2022-04-21,600.16
2022-07-27,1200.32
2022-01-27,1050.00
2023-01-09,900.24
2021-05-30,600.17
2022-10-04,1200.32
2022-11-06,26.15
2021-08-06,600.17
2021-11-24,35.19
2021-07-20,15.69
2021-03-18,23.46
2022-10-21,600.16
2022-06-24,40.66
2022-02-05,203.30
2022-10-08,40.66
2021-04-26,26.15
2021-03-12,900.24
2021-02-19,300.08
2021-10-14,20.92
2021-05-30,5250.00
2021-10-01,600.16
2022-04-19,600.16
2021-04-16,162.64
2022-01-19,900.24
2021-08-08,4200.00
2022-02-02,600.16
2021-09-02,26.15
2022-03-02,300.08
2021-03-01,203.30
2022-12-15,26.15
2021-04-25,121.98
2022-02-24,1500.40
2022-03-08,20.92
2021-12-25,107.52
2021-01-19,60.60
2022-06-03,3000.85
2022-07-19,2400.68
2021-05-04,1200.32
2021-11-12,600.16
2022-04-04,2400.68
2021-04-14,75.75
2021-12-16,26.15
2021-09-16,20.92
2021-04-24,10.46
2021-09-08,300.08
2022-06-15,35.19
2021-02-17,3000.85
2021-05-06,3150.00
2021-07-28,300.08
2022-09-21,60.60
2021-08-07,900.24
2022-11-03,11.73
2022-06-18,35.84
2022-03-07,40.66
2022-09-03,15.69
2022-08-12,300.08
2022-04-28,10.46
2021-10-24,2100.00
2022-07-18,1500.40
2022-06-24,900.24
2022-05-24,26.15
2021-12-01,300.08
2022-12-14,300.08
2023-01-19,40.66
2021-10-13,1500.40
2022-12-12,81.32
2022-06-17,121.98
2021-12-19,10.46
2022-06-07,107.52
2022-11-20,179.20
2021-03-27,1200.32
2022-01-13,15.69
2022-06-07,40.66
2022-09-23,15.15
2021-02-17,143.36
2021-11-17,300.08
2022-12-11,1500.40
2022-05-12,1500.40
2022-05-17,75.75
2021-02-20,600.16
2021-04-15,1200.32
2021-06-26,5.23
2022-01-10,143.36
2022-12-11,1200.32
2021-01-17,15.15
2022-08-07,23.46
2022-03-20,1500.40
2022-11-23,3000.85
2021-02-26,11.73
2021-04-18,15.15
2022-10-08,900.24
2021-12-29,162.64
2022-07-14,40.66
2021-01-21,40.66
2023-01-19,2400.68
2022-09-12,1050.00
2021-06-19,121.98
2021-05-15,300.08
2021-11-04,900.24
2021-05-05,300.08
2021-12-30,600.16
2021-09-25,600.16
2022-09-01,4200.00
2023-02-04,1200.32
2022-11-17,15.69
2022-12-02,1200.34
2021-08-06,600.16
2022-03-12,900.24
2022-09-14,5.23
2021-02-21,23.46
2022-12-18,1050.00
2021-04-06,1500.40
2022-03-03,45.45
2022-08-10,45.45
2021-04-18,5.23
2022-09-03,40.66
2021-06-08,1500.40
2022-03-25,600.16
2022-04-25,15.69
2021-06-05,143.36
2022-01-04,300.08
2021-09-06,121.98
2021-10-26,5.23
2023-02-12,40.66
2023-02-06,203.30
2021-11-06,1500.40
2022-06-18,40.66
2023-02-10,600.16
2022-09-25,900.24
2022-12-28,900.24
2021-10-26,900.24
2021-06-24,1800.51
2022-02-02,1800.51
2021-06-16,1800.51
2022-07-19,1200.32
2022-11-01,1200.32
2021-09-06,71.68
2021-06-09,15.69
2022-02-06,900.24
2021-04-30,900.24
2021-11-15,203.30
2021-01-21,1200.34
2021-07-15,121.98
2021-08-18,1500.40
2022-05-01,3150.00
2021-10-15,45.45
2021-02-15,300.08
2022-09-28,30.30
2022-04-03,300.08
2021-03-29,600.16
2022-01-31,1200.32
2022-12-24,10.46
2021-03-17,121.98
2021-05-13,1500.40
2021-12-09,300.08
2022-02-26,81.32
2021-06-06,15.69
2021-06-07,1800.51
2021-05-08,300.08
2021-08-04,5.23
2021-09-16,900.24
2022-03-31,1500.40
2022-08-14,58.65
2021-09-16,2400.68
2022-06-28,3000.85
2021-12-29,1500.40
2022-07-24,40.66
2023-01-20,203.30
2021-04-27,58.65
2021-04-21,26.15
2022-02-17,1800.51
2022-10-01,4200.00
2021-05-06,5.23
2022-10-22,23.46
2022-05-10,58.65
2021-06-07,179.20
2022-12-28,81.32
2021-12-26,107.52
2021-08-22,1500.40
2021-02-20,121.98
2021-10-21,600.16
2022-03-22,121.98
2023-01-19,1500.40
2022-04-26,600.17
2023-01-30,30.30
2023-01-06,4200.00
2022-07-12,600.17
2023-01-24,1200.34
2021-02-05,1200.32
2022-07-23,600.16
2021-02-15,5.23
2022-05-14,81.32
2021-04-27,35.84
2021-09-09,81.32
2022-08-15,11.73
2021-04-17,600.17
2022-08-27,2100.00
2022-02-21,300.08
2022-06-14,162.64
2022-12-24,203.30
2022-01-03,1800.51
2022-12-03,1050.00
2022-05-27,1200.32
2022-03-10,300.08
2021-12-19,10.46
2022-04-03,5250.00
2021-03-05,162.64
2022-10-03,600.16
2022-07-30,3000.85
2021-02-08,900.24
2022-12-05,40.66
2022-03-02,600.16
2023-02-12,1500.40
2023-01-30,1500.40
2021-11-27,1200.32
2021-03-02,40.66
2021-10-22,162.64
2021-07-21,1200.32
2022-02-02,1500.40
2022-06-13,40.66
2023-02-10,600.16
2022-09-27,107.52
2021-01-28,3150.00
2021-05-28,1800.51
2022-06-06,3150.00
2021-10-25,1200.32
2021-11-23,203.30
2021-09-22,179.20
2021-02-24,1800.51
2022-04-29,23.46
2021-11-06,121.98
2021-06-12,40.66
2022-07-19,15.69
2022-06-03,203.30
2022-08-20,11.73
2022-02-06,3000.85
2021-11-09,10.46
2021-02-20,60.60
2023-01-17,1200.32
2021-04-04,20.92
2022-03-25,1200.32
2021-08-17,35.19
2021-08-05,5.23
2021-12-15,81.32
2022-05-09,46.92
2022-08-05,20.92
2022-09-18,35.84
2021-08-19,81.32
2022-08-21,900.24
2021-02-15,15.69
2021-06-28,20.92
2021-05-29,1800.51
2021-07-14,40.66
2021-12-31,600.17
2022-09-03,58.65
2022-09-27,26.15
2023-01-17,162.64
